article_id,title,region,written_date,manner_temperature,price,content,chat_count
473709426,0.9kg 맥북 골드 가볍다 빠르다 얇다 미니멀의 최고 노트북 애플 한정판 macbook 256/8gb,성동구 행당동,끌올10시간전,56.3°C,"749,000원","애플(APPLE)을 모르는 분들이 있으리라 생각되어
먼저 말하자면, 가볍지만 고급스럽고 오래쓸수 있는 보안이 철저한 기기를 선택하고싶다면
애플이 정답입니다.
윈도우를 쓰게 되면 바이러스 걸릴지 걱정되고 시간이 지나면 컴퓨터가 느려지잖아요?
그걸 없애고자 만든 컴퓨터가 애플이랍니다.
보안성이 아주높고 바이러스 침투가 거의 불가능한 구조로 만든 맥OS입니다. 시간이 지나도 연식이 생겨도 속도가 느려지지 않습니다.
보통 그래서 아시는분들만 혹은 감성을 따지시는분들만 구매를 하시는데 요즘은 국내에서도
많은분들이 맥을 이용하고있습니다.
저는 애플제품만 15년 넘게 사용하고 있답니다. 본제품은 구매당시 180만원정도 주고 구매했던 기억이 납니다.
일단 너무 가볍습니다 노트북 무게가 920그람입니다 (0.92kg)
이정도 사양에 이정도 디자인에 이런 무게의 노트북은 애플밖에 못만들어요!ㅎㅎ
너무 가볍기에 가방에 들고다니기도 좋고 너무 얇아서 제일얇은곳은 0.3센치입니다.
무릎위에 올려놓기도 딱좋고 오랜시간 사용해요 발열도 거의 없다 생각 할 수 있습니다.
잦은출장이나 비행이나 기차 차를 타고 작업을하거나 영상을 보거나 하셔야 하는분에겐
더할나위없이 좋은 노트북이라는것을 말합니다.
본체는 알루미늄 소재로 시원하고 단단합니다. 데미지와 기스에 강합니다.
게다가 고급스러운 감성의 금색이라
집안 어디 던져놔도 인테리어 해치지 않고 너무 이쁩니다:) 
인스타용으로도 최고입니다
정말 소중하게 사용하여 생활적인 사용감 외엔 데미지가 없습니다.
사진 자세히 찍어두었기에 상세히 확인하세요.
편지봉투 L 사이즈에도 들어갈수있는 컴팩트한 사이즈이고 레티나 디스플레이로 화질 선명도가 아주 높습니다.
심지어 최근에 영국에서 키보드와 배터리 교체도 하였습니다.
너무 좋아하는 노트북이라 새로운 마음으로 쓰려고 거금을 들여 교체하였습니다.
그래서 키보드와 배터리는 사용감이 많이없는 새 것이라 보셔도 무관합니다.
새로산 노트북과 비슷한 퍼포먼스를 내는 배터리 이며 보통 중고 노트북 사시면 배터리 문제로 
충전을해도 충전이 자주 꺼지고 배터리가 자주 꺼지는 일이 많으실겁니다.
그럴일이 없고 완충후 비디오를 보신다면 최대 8시간 이상 사용가능하실겁니다.(최대밝기기준)
 비디오 말고 다른 문서작업이나 인터넷연결없이 다른 작업은 그이상 시간도 사용 가능 한것으로 알고있습니다.
배터리교체비용만 25만원 이상 들었습니다.
노트북은 배터리가 생명인지라 배터리교체된 제 노트북이 아주 좋으리라 생각합니다.
사양은 
SSD256GB - 초고속하드
램 8GB - 메모리
1.1G 인텔 코어M - CPU입니다.
사양은 아직 현역 사양으로 일반적으로 
어떤프로그램이던 잘돌아갑니다.
향후 5년까지 문제 없다 봅니다 
워드/파워포인트/사진편집/영상편집/엑셀 할 수 있는 것 모두 기본 깔려 있습니다.
노트북이라 캠도 붙어있구 셀카 촬영도 가능합니다. 
주로 유트브와 같은 영상을 시청하거나, 화상통화, 화상업무, 메일, 데이터관리(엑셀,워드 등으로) 하시는 분들께 강추합니다.
간단한 영상편집과 포토샵도 충분히 돌아가는사양이고 저도 작업을 하였습니다.
맥북이 왜 한정판이냐면, 이제품은 맥북에어와 프로와 다른 맥북라인입니다.
그래서 본품자체에 사진에도 있지만 MACBOOK 이라고만 간결히 적혀있는 맥북라인이며
현재는 판매하지않는 한정판 이였습니다. 원래 맥북팬들이 엄청나게 많았고 그에 보답하는 의미로 만든 컴퓨터 이므로 애플에서 처음으로 금색 노트북을 공개한것이 맥북입니다.
처음나온 골드컬러(고급스럽고 은은하게 색이비치는), 스타라이트 컬러가 본제품이였습니다.
저는 나오자마자 반해서 구매를 하였고 아주 애지중지 사용하였습니다.
맥북이 또 유명하기로 보통 저녁에 작업하면 키보드가 안보이는 경우가많은데 거의 최초로 키보드 백라이트를 적용해서 저녁에 작업할때 키보드에 불을 키실수 있습니다.
불만켜지는게아니라 17단계로 원하는 밝기 선택이가능합니다.
직관적으로 키를 눌러서(키보드 자판보면 있음) 화면밝기와 키보드 백라이트밝기를 조절해서
야간에도 편한 문서작업과 여러가지를 할 수 있습니다.
엄청나게 컴팩트하고 엄청나게 얇고 심플한디자인입니다.
군더더기 하나 없는 것으로 저도 그게 좋아서 구매하였고 너무 잘 사용하였습니다.
USB-C타입 충전이라 엄청 빠른 급속충전이 가능합니다.
판매하는이유는 저는 컴퓨터가 총 5대가 있습니다.
고사양 퍼포먼스를 요하는 작업을 많이하다보니 손이안가게되어 
배터리 키보드 교체하고 돈은 들였는데 사용을 안하게되어서 너무 아까워서
다른 잘 쓸 사람에게 판매하는게 맞다 생각해서 판매하는 것입니다.
제품의 구성은
컴퓨터 본체 + 충전기 입니다.
구매할때 받은 박스는 잦은 해외 거주로 인해 어디있는지 찾을순 없습니다.
하지만 구매할때받은 모든 것이 저 두개 이므로 박스제외 모두 가지고 있습니다.
추가적으로 궁금하거나 하신 사항 있으면 언제든지 여쭤봐주세요
Ps. 맥북을 모르시는분들에게 가장크게 어필되는건 다른 노트북들과 다른 큰 트랙패드 입니다.
사진을 보면 아시겟지만 마우스를 손가락으로 눌러 쓸수있는 부분을 트랙패드라고 하는데.
이게 맥북에서 처음 전자식으로 발명되어 엄청나게 편리합니다 다른 맥북들과 또다릅니다.
클릭 강도도 섬세하게 조절할수 있고, (한마디로 컴퓨터가 꺼져있을땐 돌과같이 클릭이안됩니다.) 완전 신기합니다.
애플의 맥북 트랙패드로 할수 있는 것이 너무 많기에 이건 궁금하시면 물어보시거나 알아보시기 바랍니다.
손가락 다섯개 모두를 활용해서, 사라지게하기, 돌리기, 확대하기(휴대폰처럼), 뒤로가기, 앞으로가기 등 모션으로 노트북 전체를 움직이게 할수 있습니다.
그래서 맥을 한번쓰면 다른 노트북을 쓰지못한다는 말이 있을정도입니다.
엄청나게 사람몸을 학습해서 편하게 쓸수 있도록 구현해 두어서 맥북 강추합니다.",관심8|채팅0|조회218
472292418,"Macbook Pro( 맥북 프로)16인치 2019 (i7, 16GB, 512)",광진구 중곡동,끌올10시간전,40.8°C,140만원,"Macbook Pro( 맥북 프로)16인치 2019년형
집에서만 써서 상태 좋아요 .제품이상 없이 잘됩니다~
패인곳은 없고, 터치바와 트랙패드 모두 정상 작동합니다.
베터리사이클 97
2.6GHz 6코어 i7, 16G 메모리, 512SSD 
이하 사양은 이미지 참고드립니다",관심2|채팅1|조회109
467208356,Macbook air 맥북 에어 M1 2020 dec 256기가,경주시 용강동,끌올10시간전,40.7°C,"870,000원","2020년 12월 생산모델 M1
전면 힐링쉴드 붙여져있음(액정제외) +4만원
현재초기화 해둠
찍힘전혀없음
하자없음",관심1|채팅1|조회222
474643745,MacBook Pro M1 맥북 프로 14인치 512GB (7월 구입 거의 새상품) 박스포함,용산구 이태원제2동,11시간전,36.5°C,200만원,"M1 프로 칩 / 8코어 CPU / 14코어 GPU / 16GB 메모리 / 512GB SSD
구매가격 269만원이고 올해 7월에 구입해서 보증기간 10개월 남아 있습니다. 거의 사용하지 않아서 스크래치 하나 없고 새상품이나 다름없는 상태입니다. 스크린 더 큰 게 필요해서 판매합니다. 충전기와 박스 함께 드려요.
이태원역 / 하얏트호텔 근처에서 직거래 가능합니다.",관심2|채팅0|조회48
474672466,맥북 프로 macbook pro late 2013 레티나 15.4인치 (RAM16GB / SSD500GB / i7),동작구 사당제1동,10시간전,38.6°C,"400,000원","맥북 프로 late 2013 레티나 15.4인치 (RAM 16GB / SSD 500GB / i7)
사과로고 불빛 나는 마지막 모델입니다
생활기스 팬 소리는 약간 있고,충전기 피복 살짝 벗겨진 거 빼곤 기본적인 사용에는 문제 없습니다
사진 잘 확인해주시고 사당역 직거래만 가능합니다",관심3|채팅0|조회52
471574503,맥북 프로 MacBook pro 13인치 2017,양천구 목2동,끌올12시간전,37.1°C,"590,000원","업그레이로 인해 팝니다!
초기화 다 되어 있는 상태이고 
하자는 사진에 보시먄 뒷편에 거의 티 안나는 정도의 흠집과 액정 위에 조그만한 하자가 있습니다!
그외엔 아무런 이상 없습니다
문의 편하게 주세요!
2018년도 제조
정품 충전기 포함",관심0|채팅0|조회112
471574503,맥북 프로 MacBook pro 13인치 2017,양천구 목2동,끌올12시간전,37.1°C,"590,000원","업그레이로 인해 팝니다!
초기화 다 되어 있는 상태이고 
하자는 사진에 보시먄 뒷편에 거의 티 안나는 정도의 흠집과 액정 위에 조그만한 하자가 있습니다!
그외엔 아무런 이상 없습니다
문의 편하게 주세요!
2018년도 제조
정품 충전기 포함",관심0|채팅0|조회112
468066321,애플 Apple MacBook Pro 맥북 프로 i7 8GB RAM SSD 500GB 15인치 레티나 디스플레이,성동구 금호2.3가동,끌올10시간전,40.3°C,"450,000원","맥북 프로 인텔 i7 램 8기가 500GB SSD 제품입니다. 
Retina, Mid 2012
사용하지 않아 내놓습니다.
300만원 가까이 주고 산 제품이며, 배터리 및 메인보드 중간에 교체해서 오랫동안 사용 가능합니다. 
액정에 점 2개, 충전 단자 등 사용감이 조금 있는 제품이지만 빠르고 현역 성능입니다.
화이트 애플로고 빛나는 버전이며, 맥북 감성이 돋보이는 디자인 입니다.
현재 소프트웨어 클린 설치 후 공장초기화한 상태이고, 고질적인 잔상 남아있으나 사라집니다.
85w 충전기, 그레이 노트북 가방 같이 드립니다.
정품 박스 있습니다.
금호역 직거래 가능합니다. 직거래해서 직접 보시고 구매 결정하세요.",관심8|채팅1|조회225
474581097,Apple Macbook(맥북)Air 💻,달서구 감삼동,13시간전,36.5°C,"350,000원","13-inch, i5 Core Intel
4GB RAM, 121GB SSD
충전기가 포함되어 있습니다.
올해구매제품.
전체적으로 눈에 띄는 기스나 찍힘 없어 보이고
아주 깨끗하게 사용했습니다.
배터리효율은 마지막확인 99%입니다.",관심1|채팅8|조회102
472003052,애플 맥북프로 Macbook Pro(마지막),강남구 역삼동,끌올13시간전,40.2°C,"800,000원","미국 캘리포니아 거주할때 애플스토어 방문 구매했어요. 
학생할인해서 2천불대에 구매했고 
한국 들어오게 되면서 
한번도 안쓰고 보관만 하게 되어서
판매합니다 ㅠ 
졸업하기 직전에 쓰던게 고장나서 급하게 구매한거라
실제로 쓴건 6개월도 안되고…
Macbook Pro 2017년도형이라지만 (구매는 2019년)
상태는 새거 그 자체입니다🥹 스크레치도 없어요
보내기 아깝지만 결혼하고 쓸일이 없어서 보내요ㅜㅜ
연식이 있다고 느끼지 못하실정도로  상태가 새거에요. 
사진에 있는 구성품 그대로이구요(노트북&충전기) 
케이스 두개 있는거 다 그냥 드릴게요~
소프트웨어는 업데이트 다했고 거래 되면 초기화 해드립니당
더 자세한 사진은 채팅 보내주시면 보내드릴게요. 
🙏정말 사실 분들만 메세지 보내주세요🙏
❌❌❌❌택배❌❌❌❌
물건이 물건인만큼 직거래만 가능합니당 
🔥펑방지금 10만원 받습니다🔥 
의왕시 포일동으로 오시면 2만원 할인해드려용!
🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃
컨디션 좋은것만 판매합니다.
팔기 애매한것들은 올리지도 않습니다!
콩이네서 예쁘고 착한 가격에 구매하세요😊
현금 결제 ❌  계좌이체만 가능✅
🌸개인거래상 교환/환불 불가능합니당🌸
*****직거래*****
의왕시 (매일 가능) 
신세계 강남점/사당 (주말만 가능)",관심13|채팅1|조회604
